country_code,latitude,longitude,country,Total
AD,42.546245,1.601554,Afghanistan,"74,788"
AE,23.424076,53.847818,Albania,"24,106"
AF,33.93911,67.709953,Algeria,"117,479"
AG,17.060816,-61.796428,American Samoa,"11,527"
AI,18.220554,-63.068615,Andorra,"22,011"
AL,41.153332,20.168331,Angola,"327,760"
AM,40.069099,45.038189,Anguilla,"2,985"
AN,12.226079,-69.060087,Antarctica,
AO,-11.202692,17.873887,Antigua and Barbuda,"16,181"
AQ,-75.250973,-0.071389,Argentina,"1,194,306"
AR,-38.416097,-63.616672,Armenia,"112,158"
AS,-14.270972,-170.132217,Aruba,"20,237"
AT,47.516231,14.550072,Australia,"3,804,832"
AU,-25.274398,133.775136,Austria,"906,321"
AW,12.52111,-69.968338,Azerbaijan,"132,247"
AZ,40.143105,47.576927,Bahamas,"31,118"
BA,43.915886,17.679076,Bahrain,"205,433"
BB,13.193887,-59.543198,Bangladesh,"1,061,320"
BD,23.684994,90.356331,Barbados,"19,169"
BE,50.503887,4.469936,Belarus,"579,625"
BF,12.238333,-1.561593,Belgium,"1,002,728"
BG,42.733883,25.48583,Belize,"29,818"
BH,25.930414,50.637772,Benin,"206,519"
BI,-3.373056,29.918886,Bermuda,"9,897"
BJ,9.30769,2.315834,Bhutan,"8,034"
BM,32.321384,-64.75737,Bolivia,"74,296"
BN,4.535277,114.727669,Bosnia and Herzegovina,"18,718"
BO,-16.290154,-63.588653,Botswana,"47,653"
BR,-14.235004,-51.92528,Bouvet Island,
BS,25.03428,-77.39628,Brazil,"371,345"
BT,27.514162,90.433601,British Indian Ocean Territory,
BV,-54.423199,3.413194,British Virgin Islands,"10,536"
BW,-22.328474,24.684866,Brunei,"47,981"
BY,53.709807,27.953389,Bulgaria,"85,798"
BZ,17.189877,-88.49765,Burkina Faso,"376,508"
CA,56.130366,-106.346771,Burundi,"162,855"
CC,-12.164165,96.870956,Côte d'Ivoire,"1,137,566"
CD,-4.038333,21.758664,Cambodia,"36,270"
CF,6.611111,20.939444,Cameroon,"255,515"
CG,-0.228021,15.827659,Canada,"4,174,467"
CH,46.818188,8.227512,Cape Verde,
CI,7.539989,-5.54708,Cayman Islands,"14,147"
CK,-21.236736,-159.777671,Central African Republic,"42,645"
CL,-35.675147,-71.542969,Chad,"275,896"
CM,7.369722,12.354722,Chile,"497,063"
CN,35.86166,104.195397,China,"398,321"
CO,4.570868,-74.297333,Christmas Island,
CR,9.748917,-83.753428,Cocos [Keeling] Islands,
CU,21.521757,-77.781167,Colombia,"566,514"
CV,16.002082,-24.013197,Comoros,"6,457"
CX,-10.447525,105.690449,Congo [DRC],
CY,35.126413,33.429859,Congo [Republic],
CZ,49.817492,15.472962,Cook Islands,"1,743"
DE,51.165691,10.451526,Costa Rica,"215,834"
DJ,11.825138,42.590275,Croatia,"278,402"
DK,56.26392,9.501785,Cuba,"2,789"
DM,15.414999,-61.370976,Cyprus,"24,070"
DO,18.735693,-70.162651,Czech Republic,"106,714"
DZ,28.033886,1.659626,Denmark,"219,460"
EC,-1.831239,-78.183406,Djibouti,"365,512"
EE,58.595272,25.013607,Dominica,"54,687"
EG,26.820553,30.802498,Dominican Republic,"3,961"
EH,24.215527,-12.885834,Ecuador,"202,387"
ER,15.179384,39.782334,Egypt,"184,345"
ES,40.463667,-3.74922,El Salvador,"233,005"
ET,9.145,40.489673,Equatorial Guinea,"22,348"
FI,61.92411,25.748151,Eritrea,"52,214"
FJ,-16.578193,179.414413,Estonia,"7,179"
FK,-51.796253,-59.523613,Ethiopia,"109,626"
FM,7.425554,150.550812,Falkland Islands [Islas Malvinas],"615,120"
FO,61.892635,-6.911806,Faroe Islands,845
FR,46.227638,2.213749,Fiji,"3,167"
GA,-0.803689,11.609444,Finland,"6,462"
GB,55.378051,-3.435973,France,"186,928"
GD,12.262776,-61.604171,French Guiana,"4,315,585"
GE,42.315407,43.356892,French Polynesia,"61,621"
GF,3.933889,-53.125782,French Southern Territories,"13,414"
GG,49.465691,-2.585278,Gabon,"146,705"
GH,7.946527,-1.023194,Gambia,"101,854"
GI,36.137741,-5.345374,Gaza Strip,
GL,71.706936,-42.604303,Georgia,"44,452"
GM,13.443182,-15.310139,Germany,"6,250,156"
GN,9.945587,-9.696645,Ghana,"217,556"
GP,16.995971,-62.067641,Gibraltar,"5,526"
GQ,1.650801,10.267895,Greece,"651,174"
GR,39.074208,21.824312,Greenland,"1,948"
GS,-54.429579,-36.587909,Grenada,"3,588"
GT,15.783471,-90.230759,Guadeloupe,"55,493"
GU,13.444304,144.793731,Guam,"38,661"
GW,11.803749,-15.180413,Guatemala,"42,304"
GY,4.860416,-58.93018,Guernsey,
GZ,31.354676,34.308825,Guinea,"49,947"
HK,22.396428,114.109497,Guinea-Bissau,"13,926"
HM,-53.08181,73.504158,Guyana,"7,301"
HN,15.199999,-86.241905,Haiti,"8,330"
HR,45.1,15.2,Heard Island and McDonald Islands,
HT,18.971187,-72.285215,Honduras,"18,493"
HU,47.162494,19.503304,Hong Kong,
ID,-0.789275,113.921327,Hungary,"258,159"
IE,53.41291,-8.24389,Iceland,"24,850"
IL,31.046051,34.851612,India,"2,514,224"
IM,54.236107,-4.548056,Indonesia,"147,684"
IN,20.593684,78.96288,Iran,"1,260,410"
IO,-6.343194,71.876519,Iraq,"153,774"
IQ,33.223191,43.679291,Ireland,"419,112"
IR,32.427908,53.688046,Isle of Man,"21,963"
IS,64.963051,-19.020835,Israel,"1,068,578"
IT,41.87194,12.56738,Italy,"3,365,603"
JE,49.214439,-2.13125,Jamaica,"11,548"
JM,18.109581,-77.297508,Japan,"1,290,723"
JO,30.585164,36.238414,Jersey,
JP,36.204824,138.252924,Jordan,"1,661,345"
KE,-0.023559,37.906193,Kazakhstan,"1,868,663"
KG,41.20438,74.766098,Kenya,"522,533"
KH,12.565679,104.990963,Kiribati,"1,428"
KI,-3.370417,-168.734039,Kosovo,
KM,-11.875001,43.872219,Kuwait,"1,021,042"
KN,17.357822,-62.782998,Kyrgyzstan,"119,315"
KP,40.339852,127.510093,Laos,"17,176"
KR,35.907757,127.766922,Latvia,"143,870"
KW,29.31166,47.481766,Lebanon,"967,998"
KY,19.513469,-80.566956,Lesotho,"3,177"
KZ,48.019573,66.923684,Liberia,"40,591"
LA,19.85627,102.495496,Libya,"235,543"
LB,33.854721,35.862285,Liechtenstein,"13,061"
LC,13.909444,-60.978893,Lithuania,"67,925"
LI,47.166,9.555373,Luxembourg,"143,053"
LK,7.873054,80.771797,Macau,
LR,6.428055,-9.429499,Macedonia [FYROM],
LS,-29.609988,28.233608,Madagascar,"15,037"
LT,55.169438,23.881275,Malawi,"129,720"
LU,49.815273,6.129583,Malaysia,"1,333,221"
LV,56.879635,24.603189,Maldives,"8,540"
LY,26.3351,17.228331,Mali,"230,802"
MA,31.791702,-7.09262,Malta,"38,963"
MC,43.750298,7.412841,Marshall Islands,"1,277"
MD,47.411631,28.369885,Martinique,"34,694"
ME,42.708678,19.37439,Mauritania,"75,221"
MG,-18.766947,46.869107,Mauritius,"12,870"
MH,7.131474,171.184478,Mayotte,"40,106"
MK,41.608635,21.745275,Mexico,"528,795"
ML,17.570692,-3.996166,Micronesia,"58,420"
MM,21.913965,95.956223,Moldova,
MN,46.862496,103.846656,Monaco,"13,660"
MO,22.198745,113.543873,Mongolia,"7,014"
MP,17.33083,145.38469,Montenegro,"42,985"
MQ,14.641528,-61.024174,Montserrat,666
MR,21.00789,-10.940835,Morocco,"49,095"
MS,16.742498,-62.187366,Mozambique,"172,934"
MT,35.937496,14.375416,Myanmar [Burma],"34,346"
MU,-20.348404,57.552152,Namibia,"49,623"
MV,3.202778,73.22068,Nauru,908
MW,-13.254308,34.301525,Nepal,"342,315"
MX,23.634501,-102.552784,Netherlands,"1,179,787"
MY,4.210484,101.975766,Netherlands Antilles,
MZ,-18.665695,35.529562,New Caledonia,"34,553"
NA,-22.95764,18.49041,New Zealand,"551,925"
NC,-20.904305,165.618042,Nicaragua,"20,468"
NE,17.607789,8.081666,Niger,"154,735"
NF,-29.040835,167.954712,Nigeria,"567,087"
NG,9.081999,8.675277,Niue,269
NI,12.865416,-85.207229,Norfolk Island,
NL,52.132633,5.291266,North Korea,
NO,60.472024,8.468946,Northern Mariana Islands,"12,644"
NP,28.394857,84.124008,Norway,"416,166"
NR,-0.522778,166.931503,Oman,"374,700"
NU,-19.054445,-169.867233,Pakistan,"1,543,315"
NZ,-40.900557,174.885971,Palau,"2,191"
OM,21.512583,55.923255,Palestinian Territories,
PA,8.537981,-80.782127,Panama,"90,676"
PE,-9.189967,-75.015152,Papua New Guinea,"12,268"
PF,-17.679742,-149.406843,Paraguay,"77,107"
PG,-6.314993,143.95555,Peru,"357,852"
PH,12.879721,121.774017,Philippines,"105,291"
PK,30.375321,69.345116,Pitcairn Islands,
PL,51.919438,19.145136,Poland,"366,231"
PM,46.941936,-56.27111,Portugal,"476,412"
PN,-24.703615,-127.439308,Puerto Rico,"142,848"
PR,18.220833,-66.590149,Qatar,"384,010"
PS,31.952162,35.233154,Réunion,"63,629"
PT,39.399872,-8.224454,Romania,"213,701"
PW,7.51498,134.58252,Russia,"5,926,680"
PY,-23.442503,-58.443832,Rwanda,"270,015"
QA,25.354826,51.183884,São Tomé and Príncipe,
RE,-21.115141,55.536384,Saint Helena,131
RO,45.943161,24.96676,Saint Kitts and Nevis,"3,595"
RS,44.016521,21.005859,Saint Lucia,"4,357"
RU,61.52401,105.318756,Saint Pierre and Miquelon,471
RW,-1.940278,29.873888,Saint Vincent and the Grenadines,"2,294"
SA,23.885942,45.079162,Samoa,"1,997"
SB,-9.64571,160.156194,San Marino,"2,571"
SC,-4.679574,55.491977,Saudi Arabia,"4,121,156"
SD,12.862807,30.217636,Senegal,"129,243"
SE,60.128161,18.643501,Serbia,"459,096"
SG,1.352083,103.819836,Seychelles,"3,877"
SH,-24.143474,-10.030696,Sierra Leone,"23,608"
SI,46.151241,14.995463,Singapore,"1,205,461"
SJ,77.553604,23.670272,Slovakia,"91,974"
SK,48.669026,19.699024,Slovenia,"110,496"
SL,8.460555,-11.779889,Solomon Islands,"1,111"
SM,43.94236,12.457777,Somalia,"24,947"
SN,14.497401,-14.452362,South Africa,"1,873,894"
SO,5.152149,46.199616,South Georgia and the South Sandwich Islands,
SR,3.919305,-56.027783,South Korea,"510,909"
ST,0.18636,6.613081,Spain,"3,190,456"
SV,13.794185,-88.89653,Sri Lanka,"19,109"
SY,34.802075,38.996815,Sudan,"615,941"
SZ,-26.522503,31.465866,Suriname,"20,930"
TC,21.694025,-71.797928,Svalbard and Jan Mayen,
TD,15.454166,18.732207,Swaziland,
TF,-49.280366,69.348557,Sweden,"996,674"
TG,8.619543,0.824782,Switzerland,"1,306,686"
TH,15.870032,100.992541,Syria,"423,138"
TJ,38.861034,71.276093,Taiwan,
TK,-8.967363,-171.855881,Tajikistan,"155,864"
TL,-8.874217,125.727539,Tanzania,
TM,38.969719,59.556278,Thailand,"1,809,580"
TN,33.886917,9.537499,Timor-Leste,"3,331"
TO,-21.178986,-175.198242,Togo,"137,856"
TR,38.963745,35.243322,Tokelau,262
TT,10.691803,-61.222503,Tonga,"1,704"
TV,-7.109535,177.64933,Trinidad and Tobago,"30,135"
TW,23.69781,120.960515,Tunisia,"27,711"
TZ,-6.369028,34.888822,Turkey,"2,618,617"
UA,48.379433,31.16558,Turkmenistan,"102,887"
UG,1.373333,32.290275,Turks and Caicos Islands,"11,839"
UM,,,Tuvalu,
US,37.09024,-95.712891,U.S. Minor Outlying Islands,
UY,-32.522779,-55.765835,U.S. Virgin Islands,
UZ,41.377491,64.585262,Uganda,"897,546"
VA,41.902916,12.453389,Ukraine,"2,829,229"
VC,12.984305,-61.287228,United Arab Emirates,"2,261,236"
VE,6.42375,-66.58973,United Kingdom,"4,970,114"
VG,18.420695,-64.639968,United States,"26,172,767"
VI,18.335765,-64.896335,Uruguay,"44,494"
VN,14.058324,108.277199,Uzbekistan,"623,336"
VU,-15.376706,166.959158,Vanuatu,"1,633"
WF,-13.768752,-177.156097,Vatican City,
WS,-13.759029,-172.104629,Venezuela,"689,715"
XK,42.602636,20.902977,Vietnam,"32,017"
YE,15.552727,48.516388,Wallis and Futuna,506
YT,-12.8275,45.166244,Western Sahara,"2,203"
ZA,-30.559482,22.937506,Yemen,"183,214"
ZM,-13.133897,27.849332,Zambia,"84,151"
ZW,-19.015438,29.154857,Zimbabwe,"177,605"